title,units,description
ENGL 305 - Postcolonial Literature/Decolonizing Perspectives,3,"Discuss contemporary literature by African, Asian-Pacific, Middle Eastern, Latin American and Caribbean, and/or Indigenous writers, including fiction, drama, poetry, essays, film. Analyze settler colonialism, study postcolonial theory, and apply decolonizing lenses."
MUS 302 - Music in World Culture,3,"Explores the musical traditions of African, Indian, Asian, Indonesian, Latin American, and Caribbean cultures compared in artistic, social, religious, and political contexts."
"ART 104K - Africa, Oceania, the Americas",3,"African, Native American, and Oceanic art. Various approaches to, and concepts of, art in these cultural regions."
ART 104N - Asian Art,3,"Surveys the visual arts of India, China, and Japan in the context of each country’s diverse religious, cultural, and political histories."
DANC 303 - Dance in World Cultures,3,"Multiethnic approach to dance as a key to cultural understanding. Discover and appreciate dance as a traditional, social, and artistic expression of world peoples. Required for dance studies majors and minor."
FREN 300 - African Storytelling,3-4,"Critical reading and retelling of oral myth, epic and tales. Examination of the role of the West African storyteller (the griot). Spoken art’s influence on African cinema, short story and novel. Esthetic and cultural parallels between West African narratives and their European counterparts."
FREN 326 - Culture and Civilization: Regional Studies,1-4,Study culture and civilization of a French-speaking country or region.
FREN 340 - Topics in Francophone Culture,2-4,"Variable topics. Presents an in-depth view of an important cultural issue in the Francophone world, such as “Musique: Fete, Critique, Revolte,” “La Femme Africaine,” and “French Caribbean Identity and Citizenship.” Full-semester major course taught in French."
GEOG 472 - Topics in Regional Geography,1-4,Specialized consideration of selected world regions.
SPAN 344 - Modern Hispanic Theater Workshop,4,"Analyze plays by most important dramatists of 20th century: Lorca, Buero Vallejo, Sastre; avant-garde playwrights such as Arrabal in Spain and Solorzano, Usigli, Villarrutia, and Gorostiza in Latin America. Authors vary. Produce and stage a play (or meaningful parts of different plays)."
SPAN 345 - Hispanic Cinema,4,"Films of past 50 years, both as art medium and document of changing society. New generation of film makers/ directors. When possible, study relationship between literary work and its film adaptation."
SPAN 346 - Borges and the Contemporary Spanish American Short Story,4,"Borges’ short stories as pre-texts of Spanish American modern narrative literatures. May include works from Cortazar, Rulfo, Valenzuela, Lynch, others."
SPAN 347 - The “Boom” of the Latin American Novel,4,"Magic realism; the fantastic; self-conscious fiction. Garcia Marquez, Vargas Llosa, Fuentes, Sabato. Innovative structure, mass media techniques, linguistic play."
SPAN 348 - Contemporary Hispanic Poetry,4,"Vanguard movements in poetry; their relation to film, music, art. Garcia Lorca, Miguel Hernandez, Octavio Paz, Pablo Neruda, Nicolas Guillen, others. Conflict between poetry and political commitment. Varied, complex voices of Spain, Latin America."
SPAN 349 - Contemporary Spanish Novel,4,"Tremendismo, behaviorism, alienation, ironic and social realism. Cela, Delibes, Martin Santos, Ferlosio. Relationship between the novel and political/ social conditions; problem of censorship."
"WS 306 - Sex, Class and Culture: Gender and Ethnic Issues in International Short Stories",3,"Gender and ethnic issues in French, German, and Spanish short stories by and about women. Readings, lectures, and discussions entirely in English.
Cross-listed with: FREN 306, GERM 306, SPAN 306"
"FREN 306 - Sex, Class and Culture: Gender and Ethnic Issues in International Short Stories",3,"Gender and ethnic issues in French, German, and Spanish short stories by and about women. Readings, lectures, and discussions entirely in English.
Cross-listed with: GERM 306, SPAN 306, WS 306"
"GERM 306 - Sex, Class and Culture: Gender and Ethnic Issues in International Short Stories",3,"Gender and ethnic issues in French, German, and Spanish short stories by and about women. Readings, lectures, and discussions entirely in English.
Cross-listed with: FREN 306, SPAN 306, WS 306"
"SPAN 306 - Sex, Class and Culture: Gender and Ethnic Issues in International Short Stories",3,"Gender and ethnic issues in French, German, and Spanish short stories by and about women. Readings, lectures, and discussions entirely in English.
Cross-listed with: FREN 306, GERM 306, WS 306"
